open_time,open,high,low,close,volume,close_time
1737392400000,0.00648,0.006485,0.006477,0.006485,28.782,1737392459999
1737392460000,0.006486,0.0065,0.006486,0.006499,29.036,1737392519999
1737392520000,0.006501,0.006501,0.006487,0.006494,29.77,1737392579999
1737392580000,0.006493,0.006496,0.00649,0.006495,11.698,1737392639999
1737392640000,0.006495,0.006555,0.006494,0.006555,397.609,1737392699999
1737392700000,0.006556,0.006613,0.006545,0.006613,415.063,1737392759999
1737392760000,0.006613,0.006683,0.0066,0.006629,678.025,1737392819999
1737392820000,0.006623,0.006639,0.006606,0.006613,208.204,1737392879999
1737392880000,0.006612,0.006624,0.006591,0.006594,454.48,1737392939999
1737392940000,0.006593,0.006594,0.006536,0.006539,472.228,1737392999999
1737393000000,0.006539,0.006576,0.006535,0.00656,471.456,1737393059999
