open_time,open,high,low,close,volume,close_time
1737392400000,106670.37,106778.05,106486.03,106486.03,36.87386,1737392459999
1737392460000,106486.04,106486.04,106132.26,106226.63,79.57174,1737392519999
1737392520000,106226.62,106500.18,106209.49,106342.24,67.91429,1737392579999
1737392580000,106342.44,106394.47,106162.87,106189.37,43.83821,1737392639999
1737392640000,106189.38,106217.9,104465.43,104468.72,433.2648,1737392699999
1737392700000,104468.72,104880.4,103050.0,103104.58,581.83868,1737392759999
1737392760000,103104.58,103276.44,101401.01,103275.53,753.40557,1737392819999
1737392820000,103259.17,103576.05,102523.57,103203.73,405.52946,1737392879999
1737392880000,103203.73,104105.5,103139.37,103925.08,420.52034,1737392939999
1737392940000,103925.07,105294.52,103838.69,105189.78,465.26814,1737392999999
1737393000000,105217.13,105312.5,104332.0,104838.71,402.10774,1737393059999
