open_time,open,high,low,close,volume,close_time
1737392400000,691.25,691.91,690.71,690.71,506.776,1737392459999
1737392460000,690.71,690.71,689.85,690.33,439.825,1737392519999
1737392520000,690.32,690.9,690.2,690.39,153.69,1737392579999
1737392580000,690.39,690.6,689.6,689.61,62.867,1737392639999
1737392640000,689.61,689.68,685.76,685.85,2890.396,1737392699999
1737392700000,685.78,687.35,682.44,683.23,3371.35,1737392759999
1737392760000,683.41,684.12,681.0,683.75,4872.72,1737392819999
1737392820000,683.74,684.27,680.27,682.59,3056.411,1737392879999
1737392880000,682.68,686.04,682.47,685.05,2783.028,1737392939999
1737392940000,685.05,687.99,685.05,687.81,2840.016,1737392999999
1737393000000,687.81,688.1,685.95,687.89,1581.767,1737393059999
