timestamp,BNBUSDT_close,BTCUSDT_close,BNBBTC_close,route_a_edge,route_b_edge,best_edge,best_route
2025-01-01 00:00:00+00:00,702.21,93610.93,0.0075,-0.001381618626315806,-0.0010173882959197966,-0.0010173882959197966,B
2025-01-01 00:01:00+00:00,702.5,93652.0,0.007499,-0.0014890684132382592,-0.0009098877514879256,-0.0009098877514879256,B
2025-01-01 00:02:00+00:00,702.77,93702.15,0.007501,-0.0010718546819670216,-0.0013271691300947852,-0.0010718546819670216,A
2025-01-01 00:03:00+00:00,702.54,93677.98,0.0075,-0.001135756859733661,-0.0012632791978969271,-0.001135756859733661,A
2025-01-01 00:04:00+00:00,702.6,93661.2,0.007501,-0.0012668158456106138,-0.001132219747922547,-0.001132219747922547,B
2025-01-01 00:05:00+00:00,703.06,93678.01,0.007504,-0.0013418873620167915,-0.0010571324703009255,-0.0010571324703009255,B
2025-01-01 00:06:00+00:00,703.09,93632.05,0.007509,-0.0012093740364201855,-0.0011896659943610999,-0.0011896659943610999,B
2025-01-01 00:07:00+00:00,703.6,93612.01,0.007516,-0.0012167433249650195,-0.0011822965060327428,-0.0011822965060327428,B
2025-01-01 00:08:00+00:00,703.72,93611.84,0.007516,-0.0013888716972582094,-0.0010101325268345729,-0.0010101325268345729,B
2025-01-01 00:09:00+00:00,703.58,93607.1,0.007515,-0.0013736244823473465,-0.0010253852916088935,-0.0010253852916088935,B
2025-01-01 00:10:00+00:00,703.51,93538.61,0.007521,-0.001208200617092814,-0.0011908394354638308,-0.0011908394354638308,B
2025-01-01 00:11:00+00:00,703.5,93520.54,0.007523,-0.001121401486170126,-0.0012776325324662663,-0.001121401486170126,A
2025-01-01 00:12:00+00:00,703.8,93519.38,0.007524,-0.001426847053233149,-0.0009721413233652054,-0.0009721413233652054,B
2025-01-01 00:13:00+00:00,703.82,93544.49,0.007524,-0.0011871130950533715,-0.0012119268788307602,-0.0011871130950533715,A
2025-01-01 00:14:00+00:00,704.01,93656.18,0.007517,-0.0011945473283708763,-0.0012044927748714462,-0.0011945473283708763,A
2025-01-01 00:15:00+00:00,704.3,93702.27,0.00752,-0.0007158323184199844,-0.0016829736881529556,-0.0007158323184199844,A
2025-01-01 00:16:00+00:00,704.39,93768.02,0.007512,-0.0012060905742454775,-0.0011929495105305055,-0.0011929495105305055,B
2025-01-01 00:17:00+00:00,704.46,93827.31,0.00751,-0.0009399191354085845,-0.0014590535365457402,-0.0009399191354085845,A
2025-01-01 00:18:00+00:00,704.38,93824.52,0.007508,-0.0011222453106526364,-0.0012767888392506421,-0.0011222453106526364,A
2025-01-01 00:19:00+00:00,704.25,93796.35,0.007506,-0.0015038714828323752,-0.0008950758758680122,-0.0008950758758680122,B
2025-01-01 00:20:00+00:00,704.4,93866.0,0.007506,-0.0009752068318534812,-0.0014237829306034122,-0.0009752068318534812,A
2025-01-01 00:21:00+00:00,704.14,93800.0,0.007506,-0.0013090258399124366,-0.0010900022808544296,-0.0010900022808544296,B
2025-01-01 00:22:00+00:00,704.0,93733.5,0.00751,-0.0012866526371181353,-0.001112379889015358,-0.001112379889015358,B
2025-01-01 00:23:00+00:00,704.18,93748.42,0.007512,-0.0011170676929423973,-0.0012819656290607995,-0.0011170676929423973,A
2025-01-01 00:24:00+00:00,704.09,93740.0,0.007511,-0.0012120885882684895,-0.0011869513815718769,-0.0011869513815718769,B
2025-01-01 00:25:00+00:00,704.14,93734.5,0.007513,-0.0010756898829311634,-0.001323334894642425,-0.0010756898829311634,A
2025-01-01 00:26:00+00:00,704.08,93733.63,0.007512,-0.0011328058436006483,-0.0012662298285641693,-0.0011328058436006483,A
2025-01-01 00:27:00+00:00,704.01,93727.31,0.007511,-0.0012338172928662017,-0.001165221657380533,-0.001165221657380533,B
2025-01-01 00:28:00+00:00,704.15,93732.03,0.007512,-0.0012491524832647372,-0.001149885178277077,-0.001149885178277077,B
2025-01-01 00:29:00+00:00,704.63,93761.9,0.007512,-0.0016114505960987957,-0.0007874195712542775,-0.0007874195712542775,B
